1000 0.0000000000 1 8.987000 10
2000 0.0000000000 1 9.982000 11
3000 0.0000000000 1 10.639000 12
4000 0.0000000000 1 10.979250 12
5000 0.0000000000 1 11.364400 13
6000 0.0000000000 1 11.637000 13
7000 0.0000000000 1 11.831714 13
8000 0.0000000000 1 11.977750 13
9000 0.0000000000 1 12.181222 14
10000 0.0000000000 1 12.363100 14
11000 0.0000000000 1 12.511909 14
12000 0.0000000000 1 12.635917 14
13000 0.0000000000 1 12.740846 14
14000 0.0000000000 1 12.830786 14
15000 0.0000000000 1 12.908733 14
16000 0.0000000000 1 12.976938 14
17000 0.0000000000 1 13.073412 15
18000 0.0000000000 1 13.180444 15
19000 0.0000000000 1 13.276211 15
20000 0.0000000000 1 13.362400 15
21000 0.0000000000 1 13.440381 15
22000 0.0000000000 1 13.511273 15
23000 0.0000000000 1 13.576000 15
24000 0.0000000000 1 13.635333 15
25000 0.0000000000 1 13.689920 15
26000 0.0000000000 1 13.740308 15
27000 0.0000000000 1 13.786963 15
28000 0.0000000000 1 13.830286 15
29000 0.0000000000 1 13.870621 15
30000 0.0000000000 1 13.908267 15
